'[20:00:00.000]',-0.265,-0.395
'[20:00:00.004]',-0.260,-0.345
'[20:00:00.008]',-0.265,-0.300
'[20:00:00.012]',-0.265,-0.275
'[20:00:00.016]',-0.260,-0.240
'[20:00:00.020]',-0.230,-0.220
'[20:00:00.024]',-0.215,-0.220
'[20:00:00.028]',-0.195,-0.215
'[20:00:00.032]',-0.205,-0.195
'[20:00:00.036]',-0.175,-0.185
'[20:00:00.040]',-0.175,-0.190
'[20:00:00.044]',-0.180,-0.205
'[20:00:00.048]',-0.190,-0.250
'[20:00:00.052]',-0.195,-0.320
'[20:00:00.056]',-0.270,-0.370
'[20:00:00.060]',-0.290,-0.380
'[20:00:00.064]',-0.290,-0.390
'[20:00:00.068]',-0.340,-0.365
'[20:00:00.072]',-0.320,-0.315
'[20:00:00.076]',-0.305,-0.320
'[20:00:00.080]',-0.290,-0.355
'[20:00:00.084]',-0.255,-0.415
'[20:00:00.088]',-0.220,-0.390
'[20:00:00.092]',-0.210,-0.400
'[20:00:00.096]',-0.240,-0.410
'[20:00:00.100]',-0.215,-0.435
'[20:00:00.104]',-0.230,-0.480
'[20:00:00.108]',-0.240,-0.510
'[20:00:00.112]',-0.235,-0.500
'[20:00:00.116]',-0.230,-0.465
'[20:00:00.120]',-0.250,-0.445
'[20:00:00.124]',-0.230,-0.440
'[20:00:00.128]',-0.220,-0.475
'[20:00:00.132]',-0.220,-0.520
'[20:00:00.136]',-0.220,-0.510
'[20:00:00.140]',-0.235,-0.475
'[20:00:00.144]',-0.215,-0.450
'[20:00:00.148]',-0.215,-0.455
'[20:00:00.152]',-0.210,-0.475
'[20:00:00.156]',-0.205,-0.460
'[20:00:00.160]',-0.205,-0.300
'[20:00:00.164]',-0.175,-0.095
'[20:00:00.168]',-0.150,0.130
'[20:00:00.172]',-0.100,0.295
'[20:00:00.176]',-0.005,0.400
'[20:00:00.180]',0.115,0.430
'[20:00:00.184]',0.210,0.375
'[20:00:00.188]',0.235,0.050
'[20:00:00.192]',0.225,-0.420
'[20:00:00.196]',0.160,-0.725
'[20:00:00.200]',-0.110,-0.890
'[20:00:00.204]',-0.425,-0.910
'[20:00:00.208]',-0.605,-0.845
'[20:00:00.212]',-0.670,-0.715
'[20:00:00.216]',-0.650,-0.620
'[20:00:00.220]',-0.585,-0.570
'[20:00:00.224]',-0.475,-0.505
'[20:00:00.228]',-0.350,-0.490
'[20:00:00.232]',-0.230,-0.480
'[20:00:00.236]',-0.165,-0.500
'[20:00:00.240]',-0.155,-0.490
'[20:00:00.244]',-0.175,-0.470
'[20:00:00.248]',-0.170,-0.430
'[20:00:00.252]',-0.160,-0.405
'[20:00:00.256]',-0.165,-0.410
'[20:00:00.260]',-0.160,-0.430
'[20:00:00.264]',-0.160,-0.405
'[20:00:00.268]',-0.170,-0.385
'[20:00:00.272]',-0.170,-0.365
'[20:00:00.276]',-0.175,-0.395
'[20:00:00.280]',-0.195,-0.415
'[20:00:00.284]',-0.180,-0.410
'[20:00:00.288]',-0.200,-0.420
'[20:00:00.292]',-0.200,-0.425
'[20:00:00.296]',-0.195,-0.425
'[20:00:00.300]',-0.210,-0.390
'[20:00:00.304]',-0.200,-0.380
'[20:00:00.308]',-0.180,-0.400
'[20:00:00.312]',-0.200,-0.400
'[20:00:00.316]',-0.195,-0.390
'[20:00:00.320]',-0.210,-0.370
'[20:00:00.324]',-0.205,-0.385
'[20:00:00.328]',-0.210,-0.400
'[20:00:00.332]',-0.215,-0.380
'[20:00:00.336]',-0.210,-0.345
'[20:00:00.340]',-0.200,-0.325
'[20:00:00.344]',-0.190,-0.305
'[20:00:00.348]',-0.210,-0.340
'[20:00:00.352]',-0.200,-0.370
'[20:00:00.356]',-0.205,-0.340
